"site_name","directions","quadrant","fetch"
"Bordelais Island",70,"East",683.651879356778
"Bordelais Island",80,"East",5556.56558445886
"Bordelais Island",90,"East",4406.70745155588
"Bordelais Island",100,"East",3551.83920190605
"Bordelais Island",110,"East",3668.13422049286
"Bordelais Island",120,"East",3835.16167307898
"Bordelais Island",130,"East",3636.29167312182
"Bordelais Island",140,"South",2845.13518848539
"Bordelais Island",150,"South",2668.48759617268
"Bordelais Island",160,"South",2894.71801354212
"Bordelais Island",170,"South",60000.0242576618
"Bordelais Island",180,"South",60000.0000020833
"Bordelais Island",190,"South",59999.8506091474
"Bordelais Island",200,"South",118.766238150267
"Bordelais Island",210,"South",106.936113652794
"Bordelais Island",220,"South",108.687097113495
"Bordelais Island",230,"West",110.309294018999
"Bordelais Island",240,"West",124.51380611759
"Bordelais Island",250,"West",100.112078200818
"Bordelais Island",260,"West",76.5481498509002
"Bordelais Island",270,"West",54.876225118991
"Bordelais Island",280,"West",48.703612210773
"Bordelais Island",290,"West",47.1866193760054
"Bordelais Island",300,"West",48.4560985098723
"Bordelais Island",310,"West",51.4007568974555
"Bordelais Island",320,"North",57.246854820007
"Bordelais Island",330,"North",68.9068159980644
"Bordelais Island",340,"North",87.62764233119
"Bordelais Island",350,"North",10074.9025929828
"Cable Beach (Blow Hole)",0,"North",3630.9267615055
"Cable Beach (Blow Hole)",10,"North",6131.90301295449
"Cable Beach (Blow Hole)",20,"North",6971.58709982734
"Cable Beach (Blow Hole)",30,"North",9231.1834707023
"Cable Beach (Blow Hole)",40,"North",14479.404670038
"Cable Beach (Blow Hole)",50,"East",855.304412542353
"Cable Beach (Blow Hole)",60,"East",432.631577057197
"Cable Beach (Blow Hole)",70,"East",449.521865972581
"Cable Beach (Blow Hole)",80,"East",410.665494094202
"Cable Beach (Blow Hole)",90,"East",333.449098865036
"Cable Beach (Blow Hole)",100,"East",247.511415562723
"Cable Beach (Blow Hole)",110,"East",229.517037452963
"Cable Beach (Blow Hole)",120,"East",35.7598160806516
"Cable Beach (Blow Hole)",130,"East",26.598741167088
"Cable Beach (Blow Hole)",140,"South",26.800499677613
"Cable Beach (Blow Hole)",150,"South",27.8582737460784
"Cable Beach (Blow Hole)",160,"South",33.8211515163179
"Cable Beach (Blow Hole)",170,"South",38.0076793189581
"Cable Beach (Blow Hole)",180,"South",40.3027729703106
"Cable Beach (Blow Hole)",190,"South",41.1193071706176
"Cable Beach (Blow Hole)",200,"South",41.3583537131908
"Cable Beach (Blow Hole)",210,"South",42.9116763940393
"Cable Beach (Blow Hole)",220,"South",59.968444317676
"Cable Beach (Blow Hole)",230,"West",4803.44723450182
"Cable Beach (Blow Hole)",240,"West",59999.6326089585
"Cable Beach (Blow Hole)",250,"West",59999.6613563776
"Cable Beach (Blow Hole)",260,"West",5171.22558843858
"Cable Beach (Blow Hole)",270,"West",3773.21724151308
"Cable Beach (Blow Hole)",280,"West",2724.10753555344
"Cable Beach (Blow Hole)",290,"West",2294.56070913256
"Cable Beach (Blow Hole)",300,"West",2407.01122673932
"Cable Beach (Blow Hole)",310,"West",2504.51143414776
"Cable Beach (Blow Hole)",320,"North",2834.2268518857
"Cable Beach (Blow Hole)",330,"North",12367.1619403014
"Cable Beach (Blow Hole)",340,"North",2658.06423509948
"Cable Beach (Blow Hole)",350,"North",2450.62484767396
"Danvers Danger Rock",0,"North",2141.00976608297
"Danvers Danger Rock",10,"North",2268.16866354377
"Danvers Danger Rock",20,"North",3273.31656239539
"Danvers Danger Rock",30,"North",11007.8285697672
"Danvers Danger Rock",40,"North",6801.35267770178
"Danvers Danger Rock",50,"East",1386.48548851564
"Danvers Danger Rock",60,"East",1508.48664815265
"Danvers Danger Rock",70,"East",98.1762075347448
"Danvers Danger Rock",80,"East",108.748119370104
"Danvers Danger Rock",90,"East",180.644246320473
"Danvers Danger Rock",100,"East",154.648436600217
"Danvers Danger Rock",110,"East",139.131328094856
"Danvers Danger Rock",120,"East",129.193411342677
"Danvers Danger Rock",130,"East",124.45258930779
"Danvers Danger Rock",140,"South",125.946665096294
"Danvers Danger Rock",150,"South",135.113952765533
"Danvers Danger Rock",160,"South",338.250550944288
"Danvers Danger Rock",170,"South",363.722989598064
