SiteName,Surveyor,Date,Time_start,Depth_m,Depth_datum_m,RLS_dist,Transect,Macro_5m2,Nereo_5m2,Comments,,,,,,,,,,,,,,,
Tzartus 116 R,CMA,10-06-2023,12:54,2.6,1.790866,27.5,15,20,0,,,,,,,,,,,,,,,,
Ross Islet 2,CMA,12-06-2023,13:18,1.5,0.068034,20,0,98,0,,,,,,,,,,,,,,,,
Ross Islet 2,BM,12-06-2023,13:18,1.5,0.068034,25,5,45,0,,,,,,,,,,,,,,,,
Ross Islet 2,CMA,12-06-2023,13:18,1.5,0.068034,30,10,86,0,,,,,,,,,,,,,,,,
Ross Islet 2,BM,12-06-2023,13:18,1.5,0.068034,35,15,33,0,,,,,,,,,,,,,,,,
Ross Islet Slug Island,CMA,14-06-2023,13:00,2.4,0.386139,35,0,78,0,"kelp bleached and degraded, decreased wtih depth, lots of littoria herbivory",,,,,,,,,,,,,,,
Ross Islet Slug Island,BM,14-06-2023,13:00,2.4,0.386139,40,5,30,0,,,,,,,,,,,,,,,,
Ross Islet Slug Island,CMA,14-06-2023,13:00,2.4,0.386139,45,10,102,0,,,,,,,,,,,,,,,,
Ross Islet Slug Island,BM,14-06-2023,13:00,2.4,0.386139,50,15,48,0,,,,,,,,,,,,,,,,
Less Dangerous Bay,KC,13-06-2023,,,,0,0,0,0,,,,,,,,,,,,,,,,
Less Dangerous Bay,CMA,13-06-2023,,,,0,5,0,0,,,,,,,,,,,,,,,,
Less Dangerous Bay,KC,13-06-2023,,,,0,10,0,0,,,,,,,,,,,,,,,,
Less Dangerous Bay,CMA,13-06-2023,,,,0,15,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
